ID,条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
1,P2M0CI230001,159A0824,0,6191,14006,0,0,0,0,TEST_EXT_IO,2018/3/5 星期一 15:32:05,72.881,FALSE
2,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:32:31,16.321,FALSE
3,P2M0CI230001,159A0824,0,6207,14006,35788,8,9,2132,LOWPOWER_MODE,2018/3/5 星期一 15:34:25,63.746,FALSE
4,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:46:54,12.768,FALSE
5,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:47:17,12.357,FALSE
6,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:50:28,12.275,FALSE
7,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:52:08,12.24,FALSE
8,P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:52:38,12.287,FALSE
9,P2M0CI230002,159A1263,0,6220,14006,35788,8,9,2274,LOWPOWER_MODE,2018/3/5 星期一 15:54:14,62.873,FALSE
10,P2M0CI230002,159A1263,0,6226,14006,35788,8,9,2167,LOWPOWER_MODE,2018/3/5 星期一 15:56:42,60.979,FALSE
11,P2M0CI230002,159A1263,0,6228,14006,35788,8,9,2092,,2018/3/5 星期一 15:57:57,62.688,TRUE
12,P2M0CI230001,,0,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:58:31,12.917,FALSE
13,P2M0CI230001,,0,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:58:54,12.01,FALSE
14,P2M0CI230001,159A1263,0,0,,0,0,0,0,START_BURNING,2018/3/5 星期一 16:01:48,5.681,FALSE
15,P2M0CI230001,159A0824,0,6200,14006,35788,8,9,1321,,2018/3/5 星期一 16:03:03,63.162,TRUE
16,P2M0CI230003,1599C4FC,0,6218,14006,35788,8,9,2247,,2018/3/5 星期一 16:04:59,66.454,TRUE
17,P2M0CI230002,159A1263,0,0,,0,0,0,0,INPUT_SN,2018/3/5 星期一 16:05:04,435270.431,FALSE
18,P2M0CI230002,159A1263,0,0,,0,0,0,0,INPUT_SN,2018/3/5 星期一 16:07:17,435403.431,FALSE
19,P2M0CI230004,1599C4E3,0,6233,14006,35788,8,9,2256,,2018/3/5 星期一 16:10:08,65.746,TRUE
20,P2M0CI230005,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:11:33,12.108,FALSE
21,P2M0CI230005,159A1234,0,6229,14006,35788,9,9,2209,,2018/3/5 星期一 16:13:34,66.335,TRUE
22,P2M0CI230006,1599D09B,0,6213,14006,35788,9,9,2255,,2018/3/5 星期一 16:15:00,72.359,TRUE
