条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
P2M0CI230001,159A0824,0,6191,14006,0,0,0,0,TEST_EXT_IO,2018/3/5 15:32,72.88,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:32,16.32,FALSE
P2M0CI230001,159A0824,0,6207,14006,35788,8,9,2132,LOWPOWER_MODE,2018/3/5 15:34,63.74,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:46,12.76,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:47,12.35,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:50,12.27,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:52,12.24,FALSE
P2M0CI230001,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:52,12.28,FALSE
P2M0CI230002,159A1263,0,6220,14006,35788,8,9,2274,LOWPOWER_MODE,2018/3/5 15:54,62.87,FALSE
P2M0CI230002,159A1263,0,6226,14006,35788,8,9,2167,LOWPOWER_MODE,2018/3/5 15:56,60.97,FALSE
P2M0CI230002,159A1263,0,6228,14006,35788,8,9,2092,,2018/3/5 15:57,62.68,TRUE
P2M0CI230001,,0,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:58,12.91,FALSE
P2M0CI230001,,0,0,,0,0,0,0,MAIN_BURNING,2018/3/5 15:58,12.01,FALSE
P2M0CI230001,159A1263,0,0,,0,0,0,0,START_BURNING,2018/3/5 16:01,5.68,FALSE
P2M0CI230001,159A0824,0,6200,14006,35788,8,9,1321,,2018/3/5 16:03,63.16,TRUE
P2M0CI230003,1599C4FC,0,6218,14006,35788,8,9,2247,,2018/3/5 16:04,66.45,TRUE
P2M0CI230002,159A1263,0,0,,0,0,0,0,INPUT_SN,2018/3/5 16:05,435270.43,FALSE
P2M0CI230002,159A1263,0,0,,0,0,0,0,INPUT_SN,2018/3/5 16:07,435403.43,FALSE
P2M0CI230004,1599C4E3,0,6233,14006,35788,8,9,2256,,2018/3/5 16:10,65.74,TRUE
P2M0CI230005,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 16:11,12.1,FALSE
P2M0CI230005,159A1234,0,6229,14006,35788,9,9,2209,,2018/3/5 16:13,66.33,TRUE
P2M0CI230006,1599D09B,0,6213,14006,35788,9,9,2255,,2018/3/5 16:15,72.35,TRUE
P2M0CI230007,1599C4EC,0,6220,14006,35788,9,9,2245,,2018/3/5 16:17,66.05,TRUE
P2M0CI230008,159A1E08,0,6212,14006,35788,9,9,2264,,2018/3/5 16:19,71.62,TRUE
P2M0CI230009,,,0,,0,0,0,0,MAIN_HANDSHARK,2018/3/5 16:20,45.98,FALSE
P2M0CI230009,1599D09A,0,6222,14006,35788,9,9,2164,,2018/3/5 16:22,73.46,TRUE
P2M0CI230010,1599D0B1,0,6231,14006,35788,8,9,2238,,2018/3/5 16:23,75.24,TRUE
