"",条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
"",P2M0CI230001,159A0824,00000000,6191,00014006,0,0,0,0,TEST_EXT_IO,2018/3/5 星期一 15:32:05,72.881,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:32:31,16.321,false
"",P2M0CI230001,159A0824,00000000,6207,00014006,35788,8,9,2132,LOWPOWER_MODE,2018/3/5 星期一 15:34:25,63.746,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:46:54,12.768,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:47:17,12.357,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:50:28,12.275,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:52:08,12.24,false
"",P2M0CI230001,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:52:38,12.287,false
"",P2M0CI230002,159A1263,00000000,6220,00014006,35788,8,9,2274,LOWPOWER_MODE,2018/3/5 星期一 15:54:14,62.873,false
"",P2M0CI230002,159A1263,00000000,6226,00014006,35788,8,9,2167,LOWPOWER_MODE,2018/3/5 星期一 15:56:42,60.979,false
"",P2M0CI230002,159A1263,00000000,6228,00014006,35788,8,9,2092,"",2018/3/5 星期一 15:57:57,62.688,true
"",P2M0CI230001,"",00000000,0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:58:31,12.917,false
"",P2M0CI230001,"",00000000,0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 15:58:54,12.01,false
"",P2M0CI230001,159A1263,00000000,0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 16:01:48,5.681,false
"",P2M0CI230001,159A0824,00000000,6200,00014006,35788,8,9,1321,"",2018/3/5 星期一 16:03:03,63.162,true
"",P2M0CI230003,1599C4FC,00000000,6218,00014006,35788,8,9,2247,"",2018/3/5 星期一 16:04:59,66.454,true
"",P2M0CI230002,159A1263,00000000,0,"",0,0,0,0,INPUT_SN,2018/3/5 星期一 16:05:04,435270.431,false
"",P2M0CI230002,159A1263,00000000,0,"",0,0,0,0,INPUT_SN,2018/3/5 星期一 16:07:17,435403.431,false
"",P2M0CI230004,1599C4E3,00000000,6233,00014006,35788,8,9,2256,"",2018/3/5 星期一 16:10:08,65.746,true
"",P2M0CI230005,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:11:33,12.108,false
"",P2M0CI230005,159A1234,00000000,6229,00014006,35788,9,9,2209,"",2018/3/5 星期一 16:13:34,66.335,true
"",P2M0CI230006,1599D09B,00000000,6213,00014006,35788,9,9,2255,"",2018/3/5 星期一 16:15:00,72.359,true
"",P2M0CI230007,1599C4EC,00000000,6220,00014006,35788,9,9,2245,"",2018/3/5 星期一 16:17:25,66.057,true
"",P2M0CI230008,159A1E08,00000000,6212,00014006,35788,9,9,2264,"",2018/3/5 星期一 16:19:08,71.628,true
"",P2M0CI230009,"","",0,"",0,0,0,0,MAIN_HANDSHARK,2018/3/5 星期一 16:20:45,45.983,false
"",P2M0CI230009,1599D09A,00000000,6222,00014006,35788,9,9,2164,"",2018/3/5 星期一 16:22:12,73.463,true
"",P2M0CI230010,1599D0B1,00000000,6231,00014006,35788,8,9,2238,"",2018/3/5 星期一 16:23:56,75.242,true
"",P2M0CI230011,"","",0,"",0,0,0,0,MAIN_HANDSHARK,2018/3/5 星期一 16:25:34,45.693,false
"",P2M0CI230011,"","",0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 16:25:50,5.318,false
"",P2M0CI230011,1599C4F8,00000000,6211,00014006,35788,8,9,483,"",2018/3/5 星期一 16:34:28,510.119,true
"",P2M0CI230012,159A1239,00000000,6209,00014006,35788,9,9,2211,"",2018/3/5 星期一 16:36:27,88.416,true
"",P2M0CI230013,159A1249,00000000,6207,00014006,35788,9,9,2173,"",2018/3/5 星期一 16:40:02,113.709,true
"",P2M0CI230014,1599D0D5,00000000,6232,00014006,35788,9,9,2244,"",2018/3/5 星期一 16:41:42,63.905,true
"",P2M0CI230015,"","",0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 16:42:52,5.561,false
"",P2M0CI230015,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:43:34,12.093,false
"",P2M0CI230015,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:44:03,12.115,false
"",P2M0CI230015,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:44:34,12.106,false
"",P2M0CI230015,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 16:46:34,12.088,false
